Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. 65 anys o més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. 65 anys o més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. 65 anys o més
081069,Llinars del Vallès,857,3244,720,742,3216,938,1599,6460,1658,
170947,Llívia,97,577,118,90,461,124,187,1038,242,
430727,"Lloar, el",6,40,18,9,34,16,15,74,34,
251291,Llobera,18,69,23,9,57,27,27,126,50,
430733,Llorac,3,37,16,3,27,10,6,64,26,
430748,Llorenç del Penedès,236,746,173,189,728,251,425,1474,424,
170950,Lloret de Mar,3056,13686,2210,2797,12606,2687,5853,26292,4897,
170963,"Llosses, les",9,90,20,15,62,17,24,152,37,
081094,Lluçà,18,99,18,30,90,25,48,189,43,
171024,Maçanet de Cabrenys,39,242,94,42,208,115,81,450,209,
171030,Maçanet de la Selva,557,2372,578,541,2147,624,1098,4519,1202,
170979,Madremanya,34,80,27,21,93,25,55,173,52,
170985,Maià de Montcal,30,151,47,35,128,42,65,279,89,
251333,Maials,52,334,127,51,239,147,103,573,274,
251305,Maldà,18,71,27,8,66,40,26,137,67,
081108,Malgrat de Mar,1440,6146,1532,1353,5804,2020,2793,11950,3552,
081115,Malla,20,89,26,17,83,32,37,172,58,
081120,Manlleu,1802,6778,1453,1795,6278,1998,3597,13056,3451,
081136,Manresa,6250,24246,6049,5779,23628,8800,12029,47874,14849,
430764,Marçà,38,201,70,38,174,65,76,375,135,
430751,Margalef,3,40,16,0,20,18,3,60,34,
082423,Marganell,17,92,27,13,86,42,30,178,69,
081141,Martorell,2690,9474,1909,2494,8581,2497,5184,18055,4406,
081154,Martorelles,333,1617,406,328,1530,511,661,3147,917,
430770,Mas de Barberans,29,194,73,32,166,111,61,360,184,
171002,Masarac,19,108,24,21,85,32,40,193,56,
430786,Masdenverge,74,353,128,66,335,132,140,688,260,
081167,"Masies de Roda, les",56,231,73,39,234,81,95,465,154,
081173,"Masies de Voltregà, les",265,1067,232,249,1056,301,514,2123,533,
430799,Masllorenç,45,187,40,37,136,57,82,323,97,
081189,"Masnou, el",1800,7589,1742,1636,7831,2521,3436,15420,4263,
430803,"Masó, la",22,86,47,17,77,41,39,163,88,
