Codi,Literal,De propietat. Per compra pagada,De propietat. Per compra amb pagaments pendents,De propietat. Per herència o donació,De lloguer,Cedit gratis o a baix preu,Altres formes,Total
170998,Meranges,10,3,15,1,3,3,35
171058,Mieres,35,10,22,33,2,6,108
430831,"Milà, el",23,6,20,2,0,2,53
251351,Miralcamp,175,68,126,9,5,9,392
430846,Miravet,178,16,59,19,5,5,282
081385,Moià,540,367,176,334,35,82,1534
430859,"Molar, el",33,9,61,3,4,2,112
081234,Molins de Rei,3233,2531,357,946,94,209,7370
251370,Mollerussa,1452,1209,276,304,63,108,3412
171061,Mollet de Peralada,22,3,34,6,5,0,70
081249,Mollet del Vallès,6954,7464,372,1453,159,378,16780
171077,Molló,29,14,49,16,8,10,126
251364,"Molsosa, la",8,2,14,0,5,2,31
081287,Monistrol de Calders,87,35,35,18,18,19,212
081271,Monistrol de Montserrat,380,208,57,194,28,52,919
171096,Montagut i Oix,155,27,43,54,14,7,300
430862,Montblanc,1196,438,206,245,26,38,2149
430884,Montbrió del Camp,105,45,151,78,42,123,544
081252,Montcada i Reixac,4798,3233,421,1092,110,313,9967
081304,Montclar,12,2,9,4,2,3,32
251399,Montellà i Martinet,77,19,50,49,9,16,220
081311,Montesquiu,157,33,13,92,23,2,320
251403,Montferrer i Castellbò,92,38,82,24,13,18,267
430897,Montferri,33,5,19,3,0,1,61
251386,Montgai,95,15,146,13,3,7,279
081265,Montgat,1344,1033,86,455,24,102,3044
081326,Montmajor,39,9,52,33,0,4,137
081332,Montmaneu,20,4,24,5,2,5,60
430901,"Montmell, el",146,82,24,5,5,27,289
081350,Montmeló,1339,1079,50,372,46,28,2914
251425,Montoliu de Lleida,62,19,52,4,2,10,149
251410,Montoliu de Segarra,13,9,37,1,1,10,71
251431,Montornès de Segarra,4,1,31,1,1,0,38
081363,Montornès del Vallès,1980,1845,80,420,32,82,4439
430918,Mont-ral,24,13,16,1,6,7,67
171100,Mont-ras,179,54,44,27,5,211,520
430923,Mont-roig del Camp,1281,456,332,283,119,158,2629
081379,Montseny,36,9,16,23,5,6,95
430939,Móra d'Ebre,615,418,250,183,53,60,1579
430944,Móra la Nova,390,208,144,197,50,17,1006
430957,"Morell, el",329,200,98,102,26,29,784
430960,"Morera de Montsant, la",26,6,12,7,7,3,61
081290,Muntanyola,41,46,9,22,1,6,125
081398,Mura,32,13,20,13,1,8,87
251459,Nalec,6,1,27,0,0,1,35
250254,Naut Aran,177,143,86,50,43,30,529
081402,Navarcles,957,346,140,203,46,106,1798
081419,Navàs,1009,390,93,340,45,55,1932
171117,Navata,134,64,17,44,12,11,282
251462,Navès,18,7,28,16,5,8,82
081424,"Nou de Berguedà, la",19,1,11,11,3,2,47
430976,"Nou de Gaià, la",49,17,47,15,7,10,145
430982,Nulles,55,18,45,9,3,7,137
251484,Odèn,10,0,51,3,2,7,73
081430,Òdena,543,160,64,77,10,41,895
171122,Ogassa,65,4,9,26,2,3,109
081458,Olèrdola,266,309,127,68,15,43,828
081461,Olesa de Bonesvalls,167,118,38,28,7,30,388
081477,Olesa de Montserrat,2572,2492,294,610,53,135,6156
251497,Oliana,349,59,119,68,20,29,644
251500,Oliola,12,1,56,7,1,1,78
251517,Olius,90,32,18,13,9,19,181
081483,Olivella,248,232,19,27,11,21,558
081496,Olost,198,14,86,56,33,12,399
171143,Olot,5148,2098,427,2401,144,181,10399
251522,"Oluges, les",14,1,42,0,5,4,66
081445,Olvan,220,17,27,41,4,15,324
251538,"Omellons, els",40,0,46,1,3,2,92
251543,"Omells de na Gaia, els",24,4,28,0,3,1,60
171156,Ordis,44,30,22,13,2,5,116
251556,Organyà,161,22,98,79,16,3,379
081509,Orís,26,17,4,21,2,3,73
081516,Oristà,59,12,71,30,8,8,188
081521,Orpí,44,1,1,4,1,0,51
081537,Òrrius,44,39,25,46,8,2,164
251569,Os de Balaguer,92,46,113,11,6,18,286
171169,Osor,44,9,10,13,0,2,78
251575,Ossó de Sió,20,9,37,3,1,6,76
081542,Pacs del Penedès,60,87,35,32,8,8,230
081555,Palafolls,839,899,99,82,20,57,1996
171175,Palafrugell,2941,1918,545,758,154,250,6566
171181,Palamós,2431,1469,346,839,127,261,5473
251581,"Palau d'Anglesola, el",178,66,193,18,8,109,572
171194,Palau de Santa Eulàlia,13,4,13,1,0,2,33
171215,Palau-sator,23,1,35,9,2,33,103
171208,Palau-saverdera,107,65,105,39,5,10,331
081568,Palau-solità i Plegamans,1226,1696,169,397,62,131,3681
431009,"Pallaresos, els",216,587,40,18,9,25,895
081574,Pallejà,1106,1370,84,192,44,60,2856
430995,"Palma d'Ebre, la",36,3,88,4,19,4,154
089058,"Palma de Cervelló, la",331,371,58,127,16,43,946
171236,Palol de Revardit,52,18,19,9,5,5,108
171241,Pals,396,160,142,76,12,35,821
081580,"Papiol, el",472,384,116,128,10,42,1152
171254,Pardines,17,6,23,4,0,5,55
081593,Parets del Vallès,2079,2125,254,501,62,87,5108
171267,Parlavà,68,18,14,7,3,7,117
431016,Passanant i Belltall,19,7,53,4,0,3,86
171289,Pau,63,24,40,20,4,10,161
431021,Paüls,35,8,149,5,0,3,200
171292,Pedret i Marzà,20,7,14,4,0,4,49
251641,Penelles,25,13,98,7,7,9,159
171306,"Pera, la",60,13,34,14,2,13,136
081607,Perafita,61,14,25,28,1,5,134
431037,Perafort,70,83,38,14,2,11,218
171328,Peralada,108,101,136,64,43,51,503
251654,Peramola,33,8,56,12,4,7,120
431042,"Perelló, el",282,29,396,60,44,6,817
