,Codi,Literal,1,2,3,4,5,6 i més,Any
486,081430,Òdena,140,215,229,189,70,52,2001
487,171122,Ogassa,41,30,17,9,5,7,2001
488,081458,Olèrdola,125,222,206,193,53,30,2001
489,081461,Olesa de Bonesvalls,75,133,69,73,25,13,2001
490,081477,Olesa de Montserrat,956,1759,1428,1353,442,218,2001
491,251497,Oliana,119,177,142,143,37,26,2001
492,251500,Oliola,22,15,13,9,13,6,2001
493,251517,Olius,38,33,42,34,20,14,2001
494,081483,Olivella,126,175,115,100,30,12,2001
495,081496,Olost,76,106,81,85,26,25,2001
496,171143,Olot,2222,3009,2504,1830,528,306,2001
497,251522,"Oluges, les",20,17,8,12,4,5,2001
