,Literal,Codi,Any,Evolucio atur
491,Olesa de Montserrat,081477,2013,58.59999999999991
492,Oliana,251497,2013,10.0
493,Oliola,251500,2013,0.7999999999999998
494,Olius,251517,2013,10.099999999999994
495,Olivella,081483,2013,-1.8000000000000114
496,Olost,081496,2013,-8.799999999999997
497,Olot,171143,2013,50.0
498,"Oluges, les",251522,2013,-1.9000000000000004
499,Olvan,081445,2013,7.400000000000006
500,"Omellons, els",251538,2013,1.9000000000000004
501,"Omells de na Gaia, els",251543,2013,0.6999999999999997
502,Ordis,171156,2013,1.599999999999998
503,Organyà,251556,2013,-1.7999999999999972
504,Orís,081509,2013,6.799999999999999
505,Oristà,081516,2013,-1.1999999999999955
506,Orpí,081521,2013,2.9000000000000004
507,Òrrius,081537,2013,-0.5
508,Os de Balaguer,251569,2013,0.1000000000000014
509,Osor,171169,2013,-2.8999999999999986
510,Ossó de Sió,251575,2013,-2.799999999999999
511,Pacs del Penedès,081542,2013,5.399999999999999
512,Palafolls,081555,2013,2.8999999999999773
513,Palafrugell,171175,2013,43.80000000000018
514,Palamós,171181,2013,-15.799999999999956
515,"Palau d'Anglesola, el",251581,2013,-7.700000000000003
516,Palau de Santa Eulàlia,171194,2013,-0.3999999999999999
517,Palau-sator,171215,2013,-1.8000000000000007
518,Palau-saverdera,171208,2013,-6.299999999999997
519,Palau-solità i Plegamans,081568,2013,43.0
520,"Pallaresos, els",431009,2013,-2.400000000000034
521,Pallejà,081574,2013,9.599999999999907
522,"Palma d'Ebre, la",430995,2013,0.6000000000000014
523,"Palma de Cervelló, la",089058,2013,8.0
524,Palol de Revardit,171236,2013,0.5999999999999979
525,Pals,171241,2013,-5.400000000000006
526,"Papiol, el",081580,2013,2.2999999999999545
527,Pardines,171254,2013,0.0999999999999999
528,Parets del Vallès,081593,2013,11.299999999999956
529,Parlavà,171267,2013,-2.599999999999998
530,Passanant i Belltall,431016,2013,3.0
531,Pau,171289,2013,-2.199999999999996
532,Paüls,431021,2013,-4.799999999999997
533,Pedret i Marzà,171292,2013,0.8999999999999986
534,Penelles,251641,2013,0.1999999999999993
535,"Pera, la",171306,2013,1.099999999999998
536,Perafita,081607,2013,-1.6999999999999993
537,Perafort,431037,2013,-7.200000000000003
538,Peralada,171328,2013,2.700000000000003
539,Peramola,251654,2013,0.3000000000000007
540,"Perelló, el",431042,2013,10.299999999999985
541,Piera,081614,2013,108.0
542,"Piles, les",431055,2013,-5.899999999999999
543,Pineda de Mar,081635,2013,51.39999999999964
544,"Pinell de Brai, el",431068,2013,-1.7000000000000028
545,Pinell de Solsonès,251667,2013,-2.0
546,Pinós,251673,2013,1.6999999999999993
547,Pira,431074,2013,2.5
548,"Pla de Santa Maria, el",431080,2013,-5.700000000000017
549,"Pla del Penedès, el",081640,2013,-1.7999999999999972
550,"Planes d'Hostoles, les",171334,2013,5.0
551,Planoles,171349,2013,2.6
552,"Plans de Sió, els",259118,2013,0.6999999999999993
553,"Poal, el",251689,2013,0.0
554,"Pobla de Cérvoles, la",251692,2013,3.0
555,"Pobla de Claramunt, la",081653,2013,18.0
556,"Pobla de Lillet, la",081666,2013,17.299999999999997
557,"Pobla de Mafumet, la",431093,2013,16.299999999999983
558,"Pobla de Massaluca, la",431107,2013,-2.6
