,Literal,Codi,Any,Renda
627,Horta de Sant Joan,430712,2011,14.3
628,"Hospitalet de Llobregat, l'",081017,2011,16.1
629,"Hostalets de Pierola, els",081629,2011,13.7
630,Hostalric,170834,2011,14.3
631,Igualada,081022,2011,11.8
632,Isona i Conca Dellà,251155,2011,13.1
633,Ivars d'Urgell,251137,2011,13.5
634,"Jonquera, la",170865,2011,15.0
635,Juneda,251193,2011,13.8
636,Linyola,251229,2011,13.9
637,"Llagosta, la",081056,2011,15.2
638,Llagostera,170890,2011,15.3
639,Llançà,170926,2011,17.1
640,Lleida,251207,2011,18.4
641,Llers,170932,2011,15.9
642,Lliçà d'Amunt,081075,2011,12.5
643,Lliçà de Vall,081081,2011,14.9
644,Llinars del Vallès,081069,2011,9.9
645,Llívia,170947,2011,12.1
646,Llorenç del Penedès,430748,2011,14.1
647,Lloret de Mar,170950,2011,14.4
648,Maçanet de la Selva,171030,2011,16.3
649,Malgrat de Mar,081108,2011,15.3
650,Manlleu,081120,2011,16.9
651,Manresa,081136,2011,12.3
652,Martorell,081141,2011,16.1
653,Martorelles,081154,2011,19.2
654,Masdenverge,430786,2011,15.5
655,"Masies de Voltregà, les",081173,2011,26.3
656,"Masnou, el",081189,2011,14.7
657,Masquefa,081192,2011,13.7
658,Matadepera,081206,2011,13.2
659,Mataró,081213,2011,15.2
660,Mediona,081228,2011,19.2
661,Miralcamp,251351,2011,13.6
662,Moià,081385,2011,15.7
663,Molins de Rei,081234,2011,15.0
664,Mollerussa,251370,2011,15.3
665,Mollet del Vallès,081249,2011,14.5
666,Monistrol de Montserrat,081271,2011,15.8
667,Montblanc,430862,2011,12.1
668,Montbrió del Camp,430884,2011,18.7
669,Montcada i Reixac,081252,2011,11.6
670,Montferrer i Castellbò,251403,2011,16.3
671,Montgat,081265,2011,15.3
672,"Montmell, el",430901,2011,14.9
673,Montmeló,081350,2011,12.1
674,Montornès del Vallès,081363,2011,15.1
675,Mont-ras,171100,2011,13.2
676,Mont-roig del Camp,430923,2011,15.0
677,Móra d'Ebre,430939,2011,13.0
678,Móra la Nova,430944,2011,15.9
679,"Morell, el",430957,2011,16.2
680,Naut Aran,250254,2011,15.2
681,Navarcles,081402,2011,15.6
682,Navàs,081419,2011,16.4
683,Navata,171117,2011,16.0
684,Òdena,081430,2011,15.8
685,Olèrdola,081458,2011,14.9
686,Olesa de Bonesvalls,081461,2011,15.1
