Codi,Literal,Migracions internes  amb la resta de Catalunya  immigracions,Migracions internes  amb la resta de Catalunya  emigracions,Migracions internes  amb la resta de Catalunya  saldo migratori,Migracions internes  amb la resta d'Espanya  immigracions,Migracions internes  amb la resta d'Espanya  emigracions,Migracions internes  amb la resta d'Espanya  saldo migratori,Migracions externes  immigracions,Migracions externes  emigracions,Migracions externes  saldo migratori,Saldo migratori total
250864,Esterri d'Àneu,48,41,7,17,8,9,19,20,-1,15,
250870,Esterri de Cardós,6,4,2,0,0,0,0,0,0,2,
430555,Falset,76,69,7,22,13,9,29,4,25,41,
170059,"Far d'Empordà, el",36,31,5,1,0,1,2,0,2,8,
250899,Farrera,5,7,-2,0,0,0,0,0,0,-2,
430568,"Fatarella, la",9,26,-17,2,2,0,4,0,4,-13,
430574,"Febró, la",3,4,-1,0,0,0,0,1,-1,-2,
081347,Figaró-Montmany,95,72,23,8,6,2,14,14,0,25,
080804,Fígols,2,2,0,0,0,0,0,0,0,0,
259084,Fígols i Alinyà,9,14,-5,1,2,-1,4,0,4,-2,
430580,"Figuera, la",13,2,11,2,2,0,0,1,-1,10,
170669,Figueres,1546,1722,-176,403,411,-8,1299,812,487,303,
430593,Figuerola del Camp,13,10,3,0,0,0,3,0,3,6,
170675,Flaçà,62,64,-2,4,7,-3,28,5,23,18,
430607,Flix,75,124,-49,10,23,-13,44,9,35,-27,
250925,"Floresta, la",0,7,-7,1,1,0,0,0,0,-7,
080826,Fogars de la Selva,69,84,-15,7,13,-6,13,8,5,-16,
080811,Fogars de Montclús,47,44,3,2,4,-2,2,0,2,3,
170681,Foixà,13,13,0,1,2,-1,1,3,-2,-3,
080832,Folgueroles,56,66,-10,2,5,-3,4,2,2,-11,
250931,Fondarella,23,32,-9,5,3,2,2,0,2,-5,
080847,Fonollosa,76,77,-1,8,0,8,6,3,3,10,
170694,Fontanals de Cerdanya,24,32,-8,5,4,1,2,4,-2,-9,
170708,Fontanilles,11,4,7,0,3,-3,1,2,-1,3,
170715,Fontcoberta,60,69,-9,1,2,-1,8,1,7,-3,
080850,Font-rubí,35,55,-20,2,4,-2,21,2,19,-3,
250946,Foradada,8,4,4,0,1,-1,3,0,3,6,
179026,Forallac,103,136,-33,6,1,5,18,12,6,-22,
430614,Forès,5,4,1,0,0,0,0,0,0,1,
170736,Fornells de la Selva,124,116,8,4,10,-6,15,14,1,3,
170741,Fortià,49,33,16,0,0,0,27,1,26,42,
080863,"Franqueses del Vallès, les",975,888,87,100,96,4,331,146,185,276,
430629,Freginals,12,20,-8,1,2,-1,2,0,2,-7,
250962,"Fuliola, la",41,30,11,12,3,9,15,10,5,25,
250978,Fulleda,1,0,1,0,0,0,2,0,2,3,
080902,Gaià,11,5,6,0,0,0,2,0,2,8,
430635,"Galera, la",29,15,14,1,0,1,5,0,5,20,
080879,Gallifa,10,6,4,0,0,0,2,1,1,5,
430640,Gandesa,74,66,8,20,21,-1,69,53,16,23,
430653,Garcia,27,30,-3,6,3,3,14,4,10,10,
430666,"Garidells, els",6,15,-9,0,0,0,0,0,0,-9,
080885,"Garriga, la",680,494,186,63,62,1,178,71,107,294,
170754,Garrigàs,30,27,3,1,2,-1,0,0,0,2,
170767,Garrigoles,6,13,-7,0,0,0,1,1,0,-7,
170773,Garriguella,60,58,2,4,6,-2,24,1,23,23,
080898,Gavà,1848,1868,-20,237,400,-163,716,402,314,131,
250984,Gavet de la Conca,7,12,-5,1,0,1,0,0,0,-4,
