Codi,Literal,Migracions internes  amb la resta de Catalunya  immigracions,Migracions internes  amb la resta de Catalunya  emigracions,Migracions internes  amb la resta de Catalunya  saldo migratori,Migracions internes  amb la resta d'Espanya  immigracions,Migracions internes  amb la resta d'Espanya  emigracions,Migracions internes  amb la resta d'Espanya  saldo migratori,Migracions externes  immigracions,Migracions externes  emigracions,Migracions externes  saldo migratori,Saldo migratori total
080919,Gelida,345,315,30,44,52,-8,68,23,45,67
170789,Ger,62,13,49,5,2,3,3,1,2,54
259123,Gimenells i el Pla de la Font,47,32,15,4,2,2,13,7,6,23
430672,Ginestar,27,9,18,2,0,2,23,11,12,32
170792,Girona,3001,4237,-1236,619,716,-97,1627,1284,343,-990
080924,Gironella,158,148,10,12,26,-14,42,19,23,19
080930,Gisclareny,2,1,1,0,0,0,0,0,0,1
430688,Godall,21,16,5,10,2,8,7,21,-14,-1
250997,Golmés,58,48,10,8,7,1,14,22,-8,3
170806,Gombrèn,8,3,5,2,2,0,2,0,2,7
251001,Gósol,27,8,19,6,0,6,3,0,3,28
080945,"Granada, la",73,69,4,5,11,-6,15,7,8,6
251018,"Granadella, la",19,19,0,5,1,4,6,1,5,9
080958,Granera,11,4,7,1,0,1,0,0,0,8
251023,"Granja d'Escarp, la",13,22,-9,21,7,14,30,25,5,10
080961,Granollers,2267,2290,-23,345,385,-40,864,511,353,290
251039,Granyanella,6,4,2,0,0,0,2,0,2,4
251057,Granyena de les Garrigues,20,0,20,0,2,-2,4,0,4,22
251044,Granyena de Segarra,13,4,9,0,1,-1,3,0,3,11
430691,Gratallops,10,6,4,2,1,1,0,0,0,5
080977,Gualba,112,81,31,11,8,3,13,2,11,45
170813,Gualta,26,18,8,2,1,1,23,4,19,28
080996,Guardiola de Berguedà,46,55,-9,6,2,4,5,3,2,-3
430705,"Guiamets, els",25,12,13,1,4,-3,1,1,0,10
170828,Guils de Cerdanya,70,21,49,2,1,1,0,3,-3,47
251095,Guimerà,13,14,-1,2,0,2,2,0,2,3
259031,"Guingueta d'Àneu, la",21,14,7,0,0,0,6,1,5,12
251109,Guissona,149,207,-58,62,20,42,126,95,31,15
251116,Guixers,1,6,-5,0,0,0,0,0,0,-5
081000,Gurb,78,72,6,5,11,-6,4,8,-4,-4
430712,Horta de Sant Joan,27,21,6,8,9,-1,7,0,7,12
081017,"Hospitalet de Llobregat, l'",8596,12275,-3679,1422,2127,-705,5806,527,5279,895
081629,"Hostalets de Pierola, els",233,126,107,10,7,3,15,4,11,121
170834,Hostalric,177,198,-21,24,5,19,43,2,41,39
081022,Igualada,1443,1357,86,245,228,17,485,126,359,462
251155,Isona i Conca Dellà,48,33,15,10,0,10,20,17,3,28
170849,Isòvol,49,18,31,3,2,1,4,0,4,36
251137,Ivars d'Urgell,54,33,21,5,8,-3,28,18,10,28
251121,Ivars de Noguera,10,5,5,1,1,0,1,1,0,5
251142,Ivorra,6,2,4,0,0,0,0,0,0,4
170852,Jafre,10,9,1,0,2,-2,2,0,2,1
170865,"Jonquera, la",117,130,-13,33,20,13,108,80,28,28
081038,Jorba,57,56,1,3,2,1,2,5,-3,-1
259101,Josa i Tuixén,7,6,1,0,1,-1,0,0,0,0
170871,Juià,29,25,4,2,0,2,3,15,-12,-6
251180,Juncosa,8,3,5,2,2,0,5,1,4,9
251193,Juneda,92,84,8,6,14,-8,66,61,5,5
251214,Les,47,40,7,14,6,8,19,9,10,25
251229,Linyola,66,46,20,17,9,8,21,7,14,42
081043,"Llacuna, la",60,34,26,4,3,1,6,5,1,28
170887,Lladó,34,31,3,1,5,-4,7,1,6,5
251235,Lladorre,18,8,10,0,0,0,0,2,-2,8
251240,Lladurs,9,0,9,0,0,0,0,0,0,9
081056,"Llagosta, la",354,510,-156,45,79,-34,100,141,-41,-231
170890,Llagostera,404,248,156,31,34,-3,113,51,62,215
170904,Llambilles,35,21,14,1,0,1,1,0,1,16
170911,Llanars,26,26,0,4,4,0,9,9,0,0
170926,Llançà,206,155,51,33,40,-7,98,19,79,123
251253,Llardecans,9,13,-4,1,1,0,2,3,-1,-5
251266,Llavorsí,25,20,5,4,6,-2,4,1,3,6
251207,Lleida,2126,2827,-701,1056,1219,-163,2143,1662,481,-383
