Codi,Literal,1,2,3,4,5,6 i més,Total llars
171117,Navata,61,91,59,47,14,10,282
251462,Navès,15,18,18,12,5,14,82
81424,"Nou de Berguedà, la",10,10,9,10,2,6,47
430976,"Nou de Gaià, la",29,42,27,33,9,5,145
430982,Nulles,43,36,17,23,9,9,137
251484,Odèn,16,12,9,8,10,18,73
81430,Òdena,140,215,229,189,70,52,895
171122,Ogassa,41,30,17,9,5,7,109
81458,Olèrdola,125,222,206,193,53,30,829
81461,Olesa de Bonesvalls,75,133,69,73,25,13,388
81477,Olesa de Montserrat,956,1759,1428,1353,442,218,6156
251497,Oliana,119,177,142,143,37,26,644
251500,Oliola,22,15,13,9,13,6,78
251517,Olius,38,33,42,34,20,14,181
81483,Olivella,126,175,115,100,30,12,558
81496,Olost,76,106,81,85,26,25,399
171143,Olot,2222,3009,2504,1830,528,306,10399
251522,"Oluges, les",20,17,8,12,4,5,66
81445,Olvan,69,106,56,55,29,9,324
251538,"Omellons, els",20,25,22,18,3,4,92
251543,"Omells de na Gaia, els",18,13,13,11,5,0,60
171156,Ordis,20,31,25,25,7,8,116
251556,Organyà,107,100,82,57,20,13,379
81509,Orís,9,14,17,18,8,7,73
81516,Oristà,27,44,32,42,20,23,188
81521,Orpí,13,12,9,9,6,2,51
81537,Òrrius,30,44,39,37,8,6,164
251569,Os de Balaguer,74,70,54,61,21,6,286
171169,Osor,12,29,18,14,4,1,78
251575,Ossó de Sió,16,17,14,9,12,8,76
81542,Pacs del Penedès,32,49,59,62,21,7,230
81555,Palafolls,309,517,494,465,141,70,1996
171175,Palafrugell,1432,1780,1408,1262,410,276,6568
171181,Palamós,1443,1378,1096,986,326,244,5473
251581,"Palau d'Anglesola, el",108,131,131,125,51,26,572
171194,Palau de Santa Eulàlia,10,9,7,5,1,1,33
171215,Palau-sator,32,22,15,20,10,5,104
171208,Palau-saverdera,88,116,51,41,22,13,331
81568,Palau-solità i Plegamans,446,870,900,1041,290,134,3681
431009,"Pallaresos, els",122,212,223,247,62,29,895
81574,Pallejà,441,799,653,675,207,81,2856
430995,"Palma d'Ebre, la",37,47,28,28,6,8,154
89058,"Palma de Cervelló, la",182,235,212,229,59,29,946
171236,Palol de Revardit,7,32,16,28,13,12,108
171241,Pals,248,241,149,97,51,35,821
81580,"Papiol, el",190,327,235,283,85,32,1152
171254,Pardines,17,9,14,9,3,3,55
81593,Parets del Vallès,723,1348,1287,1283,351,116,5108
171267,Parlavà,23,26,25,21,14,8,117
431016,Passanant i Belltall,34,24,16,2,6,4,86
171289,Pau,47,44,20,29,15,6,161
431021,Paüls,32,50,39,40,20,19,200
171292,Pedret i Marzà,11,11,13,7,4,3,49
251641,Penelles,30,36,40,28,13,12,159
171306,"Pera, la",31,36,26,17,15,11,136
81607,Perafita,33,39,30,15,11,6,134
