Municipi,2010,2011,2012,2013,2014,2015,2016,2017,2018
Palafolls,125179,16650.0,16634.0,16382.0,15764.0,18206.0,18313.0,18645.0,18645.0
Palafrugell,290946,244397.0,235014.0,239479.0,245473.0,247028.0,258463.0,265782.0,265782.0
Palamós,252484,76485.0,74064.0,74271.0,74353.0,77817.0,79918.0,82960.0,82960.0
"Palau d'Anglesola, el",32473,208860.0,198247.0,199500.0,206943.0,207492.0,212645.0,211606.0,211606.0
Palau-saverdera,17190,53079.0,50232.0,50414.0,52492.0,54491.0,57679.0,58908.0,58908.0
Palau-solità i Plegamans,239415,40963.0,37923.0,37453.0,36611.0,36104.0,37871.0,39345.0,39345.0
"Pallaresos, els",75831,66662.0,63298.0,63681.0,67485.0,66506.0,71594.0,77382.0,77382.0
Pallejà,204628,308439.0,299706.0,305336.0,317753.0,317915.0,323413.0,331304.0,331304.0
"Palma de Cervelló, la",53597,18500.0,17743.0,18638.0,18920.0,18806.0,18369.0,19217.0,19217.0
Pals,43253,30990.0,28694.0,29598.0,29392.0,30025.0,33614.0,56045.0,56045.0
"Papiol, el",68581,31778.0,31176.0,31358.0,30295.0,31214.0,32337.0,33836.0,33836.0
Parets del Vallès,304682,210611.0,204967.0,207279.0,217668.0,217160.0,223923.0,237315.0,237315.0
Perafort,18738,352458.0,330588.0,330975.0,334153.0,355228.0,366202.0,375530.0,375530.0
Peralada,30012,32565.0,30926.0,31105.0,32646.0,33132.0,33847.0,35690.0,35690.0
"Perelló, el",32506,17642.0,17151.0,16741.0,17080.0,17735.0,18616.0,19419.0,19419.0
Piera,210461,27225.0,26784.0,26609.0,27251.0,25877.0,25497.0,26276.0,26276.0
Pineda de Mar,352066,34355.0,31836.0,32627.0,34005.0,33627.0,34176.0,34816.0,34816.0
"Pla de Santa Maria, el",31633,21820.0,19354.0,19494.0,19101.0,18797.0,19938.0,19527.0,19527.0
"Pla del Penedès, el",18083,34960.0,37040.0,38953.0,41147.0,43030.0,44120.0,47104.0,47104.0
"Planes d'Hostoles, les",26938,40481.0,37975.0,38785.0,40224.0,40594.0,40135.0,42516.0,42516.0
"Pobla de Claramunt, la",34083,47968.0,46043.0,44806.0,44165.0,44669.0,44862.0,45327.0,45327.0
"Pobla de Lillet, la",21582,127899.0,123657.0,127464.0,132847.0,133257.0,134831.0,138091.0,138091.0
"Pobla de Mafumet, la",33756,37032.0,35057.0,33995.0,34977.0,34679.0,34851.0,33381.0,33381.0
"Pobla de Montornès, la",41548,50067.0,48318.0,49474.0,51513.0,52397.0,53798.0,57336.0,57336.0
"Pobla de Segur, la",49415,38914.0,36591.0,37275.0,37097.0,37733.0,38172.0,38943.0,38943.0
Polinyà,125109,69127.0,66645.0,68183.0,69548.0,71880.0,75985.0,76827.0,76827.0
"Pont de Suert, el",38785,19290.0,18008.0,17983.0,16579.0,17473.0,17297.0,17526.0,17526.0
