,Municipi,Codi,Any,Total,Homes,Dones,0-14 Anys,15-64 Anys,64 o més,Índex d'envelliment,Índex de sobreenvelliment,Saldo migratori total,Immigracions,Emigracions,Aturats,Poblacio activa,Renda,Demanda,Habitatges familiars secundaris,Habitatges familiars vacants,Habitatges familiars altres,Habitatges familiars principals,De lloguer,De propietat,Serveis,Solar,Zones verdes,Equipament,Connectivitat,Densitat comercial,Hab Lloguer
119,Breda,170274,2000,3345.0,0.5133034379671151,0.4866965620328849,0.14230194319880418,0.6807174887892377,0.17698056801195813,,,,,,,,,,,,,,,,,,,,,,0.0
120,Brunyola,170280,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
121,Cabacés,430350,2000,339.0,0.5250737463126843,0.4749262536873156,0.08259587020648967,0.6076696165191741,0.30973451327433627,,,,,,,,,,,,,,,,,,,,,,0.0
122,Cabanabona,250609,2000,98.0,0.5,0.5,0.07142857142857142,0.5408163265306123,0.3877551020408163,,,,,,,,,,,,,,,,,,,,,,0.0
123,Cabanelles,170314,2000,226.0,0.5707964601769911,0.42920353982300885,0.09734513274336283,0.6283185840707964,0.2743362831858407,,,,,,,,,,,,,,,,,,,,,,0.0
124,Cabanes,170307,2000,798.0,0.5125313283208021,0.487468671679198,0.11904761904761904,0.6754385964912281,0.20551378446115287,,,,,,,,,,,,,,,,,,,,,,0.0
125,Cabó,250616,2000,123.0,0.5772357723577236,0.42276422764227645,0.08130081300813008,0.6016260162601627,0.3170731707317073,,,,,,,,,,,,,,,,,,,,,,0.0
126,Cabra del Camp,430363,2000,601.0,0.5241264559068219,0.47587354409317806,0.11148086522462562,0.6638935108153078,0.22462562396006655,,,,,,,,,,,,,,,,,,,,,,0.0
127,Cabrera d'Anoia,80288,2000,528.0,0.5511363636363636,0.44886363636363635,0.11931818181818182,0.7234848484848485,0.1571969696969697,,,,,,,,,,,,,,,,,,,,,,0.0
128,Cabrera de Mar,80291,2000,3716.0,0.5110333692142088,0.48896663078579117,0.16980624327233584,0.7163616792249731,0.11383207750269106,,,,,,,,,,,,,,,,,,,,,,0.0
129,Cabrils,80305,2000,4693.0,0.4886000426166631,0.5113999573833369,0.1883656509695291,0.716173023652248,0.09546132537822288,,,,,,,,,,,,,,,,,,,,,,0.0
